parcela	arvore	dap	ht
1	1	8	13.2
1	2	5.8	12.4
1	3	9.2	14.3
1	4	7.9	12.6
1	5	5.6	12.8
1	6	8.4	14.3
1	7	6.2	11.7
1	8	9.2	14.2
1	9	8.6	14.8
1	10	6.7	15.6
1	11	8.3	15.3
1	12	11.7	16.5
1	13	6.5	12.4
1	14	11.6	15.3
1	15	6.3	0
1	16	5.7	0
1	17	9.2	0
1	18	4.3	0
1	19	6.8	0
1	20	8	0
1	21	9.4	0
1	22	8.4	0
1	23	7.5	0
1	24	9	0
1	25	7.8	0
1	26	6.9	0
1	27	8.8	0
1	28	6.4	0
1	29	8.3	0
1	30	7.3	0
1	31	4.7	0
1	32	9.2	0
1	33	8.6	0
1	34	8.8	0
1	35	7.6	0
1	36	4.6	0
1	37	7.7	0
1	38	7.5	0
1	39	8.3	0
1	40	6.8	0
1	41	7.7	0
1	42	4	0
1	43	6.9	0
1	44	5.5	0
1	45	6.4	0
1	46	6.3	0
1	47	5	0
1	48	4.4	0
1	49	8.7	0
1	50	7.5	0
2	1	7.1	0
2	2	7.4	0
2	3	10	0
2	4	9.7	0
2	5	8.1	0
2	6	5.1	0
2	7	8.9	0
2	8	6.7	0
2	9	7	0
2	10	9.5	0
2	11	7.6	0
2	12	8.9	0
2	13	9.8	0
2	14	7.3	0
2	15	9.7	0
2	16	7.2	0
2	17	9.8	0
2	18	8.7	0
2	19	9.8	0
2	20	8	0
2	21	6.8	0
2	22	10.2	0
2	23	8.1	0
2	24	9.6	0
2	25	8.3	0
2	26	6	0
2	27	9.1	0
2	28	4.3	0
2	29	7.3	0
2	30	10.2	0
2	31	6	0
2	32	9.8	0
2	33	8.7	0
2	34	7	0
2	35	9	0
2	36	6.9	0
2	37	9.2	0
2	38	10.8	0
2	39	5.8	0
2	40	9.2	0
2	41	11	0
2	42	6.4	0
2	43	5.7	0
2	44	10.4	0
2	45	10.4	0
2	46	6	12.5
2	47	6.9	13.9
2	48	6.3	13.9
2	49	7.3	12.7
2	50	8.8	13.3
2	51	6.3	11.9
2	52	9.3	12.9
2	53	7.7	13
2	54	9.4	13.8
2	55	6.8	12.8
2	56	7	13
2	57	7.7	13.5
2	58	7.8	13.6
2	59	7	12.9
2	60	8.5	13.8
3	1	8.4	11.8
3	2	8.7	11.5
3	3	8.7	11.7
3	4	6.3	11.5
3	5	6.8	11.2
3	6	9.2	11.7
3	7	7.7	11.3
3	8	8.6	12.5
3	9	9.5	12.2
3	10	7.4	11.2
3	11	4.9	9.7
3	12	4.8	9.5
3	13	5.9	10.7
3	14	9.9	13.8
3	15	7.7	0
3	16	9.4	0
3	17	9	0
3	18	4.7	0
3	19	10.2	0
3	20	5.8	0
3	21	11.8	0
3	22	8.7	0
3	23	7.9	0
3	24	9.3	0
3	25	10.1	0
3	26	9.8	0
3	27	6.8	0
3	28	9.2	0
3	29	10.6	0
3	30	9.4	0
3	31	7.8	0
3	32	6.1	0
3	33	8.8	0
3	34	10.3	0
3	35	8	0
3	36	7.8	0
3	37	6.5	0
3	38	9.2	0
3	39	8.2	0
3	40	8.2	0
3	41	10.4	0
3	42	7.2	0
3	43	9.8	0
3	44	7.2	0
3	45	10.8	0
3	46	8.2	0
3	47	6.6	0
3	48	8.7	0
4	1	9.9	12.2
4	2	4.9	9.3
4	3	9.2	10.4
4	4	6.4	9.6
4	5	7.3	10
4	6	9.8	11.8
4	7	6.6	9.9
4	8	7.6	10.6
4	9	9.2	11.2
4	10	7.3	10.5
4	11	7.6	10.6
4	12	6.8	10.4
4	13	7.8	10.2
4	14	7.8	10.1
4	15	4.7	8.5
4	16	4.6	0
4	17	5.6	0
4	18	6.5	0
4	19	4.3	0
4	20	7.7	0
4	21	5.4	0
4	22	6.6	0
4	23	7.4	0
4	24	9.2	0
4	25	7.2	0
4	26	6.9	0
4	27	6.7	0
4	28	6.7	0
4	29	8.2	0
4	30	7.4	0
4	31	6.9	0
4	32	4.5	0
4	33	8.6	0
4	34	8	0
4	35	8.4	0
4	36	9.2	0
4	37	7.8	0
4	38	10.4	0
4	39	8.7	0
4	40	7.8	0
4	41	8.2	0
4	42	10.1	0
4	43	9.2	0
4	44	8.2	0
4	45	5.6	0
4	46	10.3	0
4	47	4.3	0
4	48	7.9	0
4	49	7.8	0
4	50	6.1	0
4	51	9.2	0
4	52	7.8	0
5	1	7	9.4
5	2	5.4	8.9
5	3	7.4	9.7
5	4	6.9	11
5	5	7.6	12
5	6	5.1	11.3
5	7	6.3	11.2
5	8	6.5	11.2
5	9	4.4	7.8
5	10	5.3	9.2
5	11	7	9.9
5	12	5.4	0
5	13	5.1	0
5	14	5	0
5	15	5.7	0
5	16	7.8	0
5	17	5.9	0
5	18	8.3	0
5	19	7.9	0
5	20	8.9	0
5	21	8.1	0
5	22	11.3	0
5	23	9.7	0
5	24	9.5	0
5	25	9.1	0
5	26	6.7	0
5	27	7.9	0
5	28	8.2	0
5	29	8.4	0
5	30	6.4	0
5	31	8.7	0
5	32	8.7	0
5	33	7.7	0
5	34	7	0
5	35	8.1	0
5	36	9.1	0
5	37	5.9	0
5	38	9.5	0
5	39	5	0
5	40	7.4	0
5	41	5.3	0
5	42	9	0
5	43	9.8	0
5	44	9.3	0
6	1	5.8	9.9
6	2	7.9	11.3
6	3	6	9.7
6	4	8	11.4
6	5	8.8	12.2
6	6	7.3	11.8
6	7	7	12
6	8	8	11.8
6	9	8.2	12.5
6	10	9.3	12.7
6	11	5.3	10.5
6	12	6.3	11.5
6	13	5.4	9.6
6	14	7	11.2
6	15	5.8	10.2
6	16	6.7	0
6	17	8	0
6	18	8.9	0
6	19	7.4	0
6	20	5.1	0
6	21	4.5	0
6	22	5.7	0
6	23	7.3	0
6	24	4.4	0
6	25	6.7	0
6	26	6.8	0
6	27	8.2	0
6	28	6.3	0
6	29	7.3	0
6	30	9	0
6	31	9.4	0
6	32	6.3	0
6	33	5.5	0
6	34	6.7	0
6	35	9.1	0
6	36	4.7	0
6	37	8.5	0
6	38	8.3	0
6	39	7.1	0
6	40	8.3	0
6	41	8	0
6	42	8.4	0
6	43	4.4	0
6	44	9.9	0
6	45	5.3	0
6	46	6.3	0
6	47	5.7	0
6	48	6.2	0
6	49	5.2	0
6	50	10.1	0
6	51	4.6	0
6	52	7.6	0
6	53	8.7	0
7	1	7.4	11
7	2	6.7	10.4
7	3	7.5	10.5
7	4	5.6	7
7	5	6	9.5
7	6	7.4	11.6
7	7	5.9	10.1
7	8	6.4	10.2
7	9	6.9	10.2
7	10	5.4	9.2
7	11	7.4	11.3
7	12	7.8	11.1
7	13	7.4	11.2
7	14	6.2	10.8
7	15	7.2	11.5
7	16	6.7	0
7	17	8	0
7	18	7.8	0
7	19	4.5	0
7	20	6.8	0
7	21	4.7	0
